"","journal","oldtier","ERS","repec_impact","repec_h","sjr","sh","tr_impact","tr_ef","econ_flag"
"15003","journal of sport psychology in action",NA,0,NA,NA,"0.276","9",NA,NA,NA
"15004","tvx 2014  proceedings of the 2014 acm international conference on interactive experiences for tv and online video",NA,0,NA,NA,"0.276","7",NA,NA,NA
"15005","open cardiovascular medicine journal",NA,0,NA,NA,"0.276","19",NA,NA,NA
"15006","university of illinois law review",NA,0,NA,NA,"0.276","21","0.727","0.00126",NA
"15007","ies journal part a: civil and structural engineering",NA,0,NA,NA,"0.276","8",NA,NA,NA
"15008","international journal of antennas and propagation",NA,0,NA,NA,"0.276","20","1.164","0.00525",NA
"15009","genes and genomics",NA,0,NA,NA,"0.276","14","0.566","0.00088",NA
"15010","2013 future network and mobile summit, futurenetworksummit 2013",NA,0,NA,NA,"0.276","10",NA,NA,NA
"15011","materiali in tehnologije",NA,0,NA,NA,"0.276","15","0.436","0.00087",NA
"15012","structural stability research council annual stability conference 2014, ssrc 2014",NA,0,NA,NA,"0.276","3",NA,NA,NA
"15013","proceedings  international conference on image processing, icip",NA,0,NA,NA,"0.276","63",NA,NA,NA
"15014","journal of religion in africa",NA,0,NA,NA,"0.276","24",NA,NA,NA
"15015","evolution psychiatrique",NA,0,NA,NA,"0.276","12","0.327","0.00014",NA
"15016","proceedings  symposium on computer architecture and high performance computing",NA,0,NA,NA,"0.276","16",NA,NA,NA
"15017","international journal of pharmacy and pharmaceutical sciences",NA,0,NA,NA,"0.276","29",NA,NA,NA
"15018","ciencia e tecnica vitivinicola",NA,0,NA,NA,"0.276","8","0.85","9e-05",NA
"15019","computational intelligence and neuroscience",NA,0,NA,NA,"0.276","34","1.215","0.00501",NA
"15020","radioengineering",NA,0,NA,NA,"0.276","27","0.945","0.00191",NA
"15021","comunicata scientiae",NA,0,NA,NA,"0.276","7",NA,NA,NA
"15022","journal of mineralogical and petrological sciences",NA,0,NA,NA,"0.276","22","0.409","5e-04",NA
"15023","acta limnologica brasiliensia",NA,0,NA,NA,"0.276","7",NA,NA,NA
"15024","random operators and stochastic equations",NA,0,NA,NA,"0.276","14",NA,NA,NA
"15025","baltic journal of road and bridge engineering",NA,0,NA,NA,"0.276","16","0.698","0.00032",NA
"15026","proceedings of the acm symposium on applied computing",NA,0,NA,NA,"0.276","50",NA,NA,NA
"15027","tekstil ve konfeksiyon",NA,0,NA,NA,"0.276","8","0.336","0.00023",NA
"15028","journal of electrical engineering and technology",NA,0,NA,NA,"0.276","17","0.525","0.00183",NA
"15029","roads and bridges  drogi i mosty",NA,0,NA,NA,"0.276","5",NA,NA,NA
"15030","international journal of feminist approaches to bioethics",NA,0,NA,NA,"0.276","4","0.462","0.00038",NA
"15031","journal of sensors",NA,0,NA,NA,"0.276","22","1.704","0.00182",NA
"15032","journal of network and systems management",NA,0,NA,NA,"0.276","27","1.588","5e-04",NA
"15033","journal of chemical engineering of japan",NA,0,NA,NA,"0.276","41","0.629","0.00098",NA
"15034","contributions to indian sociology",NA,0,NA,NA,"0.276","20","0.267","0.00016",NA
"15035","orthodontics : the art and practice of dentofacial enhancement",NA,0,NA,NA,"0.276","6",NA,NA,NA
"15036","acta physiologica hungarica",NA,0,NA,NA,"0.276","23","0.571","6e-04",NA
"15037","journal of healthcare engineering",NA,0,NA,NA,"0.276","12","0.965","0.00043",NA
"15038","jornal brasileiro de psiquiatria",NA,0,NA,NA,"0.276","16",NA,NA,NA
"15039","romanian journal of morphology and embryology",NA,0,NA,NA,"0.276","19","0.67","0.00184",NA
"15040","qualitative report",NA,0,NA,NA,"0.276","18",NA,NA,NA
"15041","bulletin of the chemical society of ethiopia",NA,0,NA,NA,"0.276","17","0.818","0.00053",NA
"15042","science of tsunami hazards",NA,0,NA,NA,"0.276","10",NA,NA,NA
"15043","africa today",NA,0,NA,NA,"0.275","24",NA,NA,NA
"15044","therapie",NA,0,NA,NA,"0.275","31","0.926","0.00053",NA
"15045","perspectives in health information management / ahima, american health information management association",NA,0,NA,NA,"0.275","14",NA,NA,NA
"15046","acute cardiac care",NA,0,NA,NA,"0.275","24",NA,NA,NA
"15047","proceedings of the international conference on artificial intelligence and law",NA,0,NA,NA,"0.275","26",NA,NA,NA
"15048","revista brasileira de plantas medicinais",NA,0,NA,NA,"0.275","19",NA,NA,NA
"15049","english teaching",NA,0,NA,NA,"0.275","14",NA,NA,NA
"15050","isrn civil engineering",NA,0,NA,NA,"0.275","2",NA,NA,NA
"15051","international quarterly of community health education",NA,0,NA,NA,"0.275","11",NA,NA,NA
"15052","acta cirurgica brasileira",NA,0,NA,NA,"0.275","22","0.729","0.00161",NA
"15053","gastroenterology nursing",NA,0,NA,NA,"0.275","24","0.671","0.00065",NA
"15054","journal international des sciences de la vigne et du vin",NA,0,NA,NA,"0.275","25","0.722","4e-04",NA
"15055","journal of environmental management and tourism",NA,0,NA,NA,"0.275","4",NA,NA,NA
"15056","journal of pidgin and creole languages",NA,0,NA,NA,"0.275","12","0.4","5e-05",NA
"15057","innovation in language learning and teaching",NA,0,NA,NA,"0.275","10",NA,NA,NA
"15058","family science",NA,0,NA,NA,"0.275","9",NA,NA,NA
"15059","applied mathematics",NA,0,NA,NA,"0.275","11",NA,NA,NA
"15060","mobilehci 2013  proceedings of the 15th international conference on humancomputer interaction with mobile devices and services",NA,0,NA,NA,"0.275","10",NA,NA,NA
"15061","proceedings of the 2013 international conference on collaboration technologies and systems, cts 2013",NA,0,NA,NA,"0.275","10",NA,NA,NA
"15062","biomedical papers of the medical faculty of the university palacky, olomouc, czechoslovakia",NA,0,NA,NA,"0.275","35",NA,NA,NA
"15063","botanica serbica",NA,0,NA,NA,"0.275","4",NA,NA,NA
"15064","melus",NA,0,NA,NA,"0.275","4",NA,NA,NA
"15065","western folklore",NA,0,NA,NA,"0.275","7",NA,NA,NA
"15066","iet computer vision",NA,0,NA,NA,"0.275","23","0.878","0.00115",NA
"15067","20th asia and south pacific design automation conference, aspdac 2015",NA,0,NA,NA,"0.275","7",NA,NA,NA
"15068","journal of neonatal nursing",NA,0,NA,NA,"0.275","14",NA,NA,NA
"15069","revista da associacao medica brasileira",NA,0,NA,NA,"0.275","28","0.931","0.00169",NA
"15070","journal of asian architecture and building engineering",NA,0,NA,NA,"0.275","9","0.277","0.00025",NA
"15071","asian affairs",NA,0,NA,NA,"0.275","9",NA,NA,"1"
"15072","south african journal of psychology",NA,0,NA,NA,"0.275","27","0.619","0.00064",NA
"15073","journal of plant diseases and protection",NA,0,NA,NA,"0.275","18","0.485","0.00032",NA
"15074","ecrime researchers summit, ecrime",NA,0,NA,NA,"0.274","5",NA,NA,NA
"15075","qualitative research journal",NA,0,NA,NA,"0.274","10",NA,NA,NA
"15076","proceedings of the international conference on parallel processing workshops",NA,0,NA,NA,"0.274","38",NA,NA,NA
"15077","boletim do instituto de pesca",NA,0,NA,NA,"0.274","9","0.295","0.00047",NA
"15078","japanese journal of veterinary research",NA,0,NA,NA,"0.274","18","0.703","0.00028",NA
"15079","proceedings of the ieee international conference on control applications",NA,0,NA,NA,"0.274","27",NA,NA,NA
"15080","sae international journal of materials and manufacturing",NA,0,NA,NA,"0.274","12",NA,NA,NA
"15081","statistics education research journal",NA,0,NA,NA,"0.274","6",NA,NA,NA
"15082","journal of experimental therapeutics and oncology",NA,0,NA,NA,"0.274","34",NA,NA,NA
"15083","journal of the brazilian society of mechanical sciences and engineering",NA,0,NA,NA,"0.274","22","1.235","0.00135",NA
"15084","estonian journal of ecology",NA,0,NA,NA,"0.274","9",NA,NA,NA
"15085","biomedica : revista del instituto nacional de salud",NA,0,NA,NA,"0.274","21",NA,NA,NA
"15086","der orthopade",NA,0,NA,NA,"0.274","38",NA,NA,NA
"15087","nursing science quarterly",NA,0,NA,NA,"0.274","31","0.49","0.00028",NA
"15088","journal for european environmental and planning law",NA,0,NA,NA,"0.274","3",NA,NA,NA
"15089","2014 11th international symposium on electronics and telecommunications, isetc 2014  conference proceedings",NA,0,NA,NA,"0.274","3",NA,NA,NA
"15090","journal of prosthetics and orthotics",NA,0,NA,NA,"0.274","26",NA,NA,NA
"15091","info",NA,0,NA,NA,"0.274","22",NA,NA,NA
"15092","bulletin of the iranian mathematical society",NA,0,NA,NA,"0.274","11","0.287","0.00106",NA
"15093","proceedings of the ieee international conference on engineering of complex computer systems, iceccs",NA,0,NA,NA,"0.274","23",NA,NA,NA
"15094","psicologia e sociedade",NA,0,NA,NA,"0.274","12",NA,NA,NA
"15095","air medical journal",NA,0,NA,NA,"0.274","19",NA,NA,NA
"15096","petroleum chemistry",NA,0,NA,NA,"0.274","15","0.493","0.00078",NA
"15097","biocatalysis and biotransformation",NA,0,NA,NA,"0.274","40","0.836","0.00069",NA
"15098","agere! 2014  proceedings of the 2014 acm sigplan workshop on programming based on actors, agents, and decentralized control, part of splash 2014",NA,0,NA,NA,"0.274","4",NA,NA,NA
"15099","studies on neotropical fauna and environment",NA,0,NA,NA,"0.274","26","0.315","0.00039",NA
"15100","advances in planar lipid bilayers and liposomes",NA,0,NA,NA,"0.274","11",NA,NA,NA
"15101","international journal of intelligent computing and cybernetics",NA,0,NA,NA,"0.274","11",NA,NA,NA
"15102","australasian plant disease notes",NA,0,NA,NA,"0.274","10",NA,NA,NA
"15103","new zealand geographer",NA,0,NA,NA,"0.274","19","0.455","0.00038",NA
"15104","victorian periodicals review",NA,0,NA,NA,"0.274","6",NA,NA,NA
"15105","analysis mathematica",NA,0,NA,NA,"0.273","12","0.325","0.00031",NA
"15106","transactions of the indian institute of metals",NA,0,NA,NA,"0.273","18","0.533","0.00132",NA
"15107","aircraft engineering and aerospace technology",NA,0,NA,NA,"0.273","20","0.519","0.00047",NA
"15108","advances in tribology",NA,0,NA,NA,"0.273","8",NA,NA,NA
"15109","foundations and trends in humancomputer interaction",NA,0,NA,NA,"0.273","15",NA,NA,NA
"15110","international journal of quantum information",NA,0,NA,NA,"0.273","30","0.766","0.00162",NA
"15111","physical modelling in geotechnics  proceedings of the 8th international conference on physical modelling in geotechnics 2014, icpmg 2014",NA,0,NA,NA,"0.273","6",NA,NA,NA
"15112","journal of astronomy and space science",NA,0,NA,NA,"0.273","7",NA,NA,NA
"15113","2014 18th ieee workshop on signal and power integrity, spi 2014  proceedings",NA,0,NA,NA,"0.273","5",NA,NA,NA
"15114","proceedings  spe annual technical conference and exhibition",NA,0,NA,NA,"0.273","46",NA,NA,NA
"15115","agypten und levante",NA,0,NA,NA,"0.273","9",NA,NA,NA
"15116","revista derecho del estado",NA,0,NA,NA,"0.273","1",NA,NA,NA
"15117","aosd 2013  proceedings of the 2013 acm on aspectoriented software development",NA,0,NA,NA,"0.273","6",NA,NA,NA
"15118","international archives of otorhinolaryngology",NA,0,NA,NA,"0.273","6",NA,NA,NA
"15119","journal of information and knowledge management",NA,0,NA,NA,"0.273","13",NA,NA,NA
"15120","anuario de psicologia juridica",NA,0,NA,NA,"0.273","4",NA,NA,NA
"15121","education for primary care",NA,0,NA,NA,"0.273","15",NA,NA,NA
"15122","tms light metals",NA,0,NA,NA,"0.273","21",NA,NA,NA
"15123","art and perception",NA,0,NA,NA,"0.273","3",NA,NA,NA
"15124","2014 federated conference on computer science and information systems, fedcsis 2014",NA,0,NA,NA,"0.273","8",NA,NA,NA
"15125","early medieval europe",NA,0,NA,NA,"0.273","18",NA,NA,NA
"15126","public policy and administration",NA,0,NA,NA,"0.273","19","1.529","0.00056",NA
"15127","cybernetics and systems analysis",NA,0,NA,NA,"0.273","13",NA,NA,NA
"15128","munibe antropologiaarkeologia",NA,0,NA,NA,"0.273","2",NA,NA,NA
"15129","advances in mathematical physics",NA,0,NA,NA,"0.273","13","0.643","0.00103",NA
"15130","public services quarterly",NA,0,NA,NA,"0.273","10",NA,NA,NA
"15131","neurology psychiatry and brain research",NA,0,NA,NA,"0.273","14",NA,NA,NA
"15132","berkeley planning journal",NA,0,NA,NA,"0.273","9",NA,NA,NA
"15133","journal of pesticide sciences",NA,0,NA,NA,"0.273","30",NA,NA,NA
"15134","turkish journal of electrical engineering and computer sciences",NA,0,NA,NA,"0.273","20","0.578","0.00107",NA
"15135","hangkong cailiao xuebao/journal of aeronautical materials",NA,0,NA,NA,"0.273","14",NA,NA,NA
"15136","estudos de psicologia (natal)",NA,0,NA,NA,"0.273","8",NA,NA,NA
"15137","journal of technology in human services",NA,0,NA,NA,"0.273","19",NA,NA,NA
"15138","international journal of art therapy",NA,0,NA,NA,"0.273","8",NA,NA,NA
"15139","primus",NA,0,NA,NA,"0.273","7",NA,NA,NA
"15140","geotechnical and geophysical site characterization 4  proceedings of the 4th international conference on site characterization 4, isc4",NA,0,NA,NA,"0.272","5",NA,NA,NA
"15141","wiener tierarztliche monatsschrift",NA,0,NA,NA,"0.272","15","0.375","0.00025",NA
"15142","disputatio",NA,0,NA,NA,"0.272","5",NA,NA,NA
"15143","ieee nanotechnology magazine",NA,0,NA,NA,"0.272","10",NA,NA,NA
"15144","plankton and benthos research",NA,0,NA,NA,"0.272","15",NA,NA,NA
"15145","language and linguistics",NA,0,NA,NA,"0.272","9","0.308","0.00028",NA
"15146","education, citizenship and social justice",NA,0,NA,NA,"0.272","14",NA,NA,NA
"15147","hno",NA,0,NA,NA,"0.272","30","0.723","0.00084",NA
"15148","enssys 2013  proceedings of the 1st international workshop on energy neutral sensing systems",NA,0,NA,NA,"0.272","5",NA,NA,NA
"15149","current nanoscience",NA,0,NA,NA,"0.272","33","1.062","0.00163",NA
"15150","annales de limnologie",NA,0,NA,NA,"0.272","25",NA,NA,NA
"15151","case reports in dermatology",NA,0,NA,NA,"0.272","12",NA,NA,NA
"15152","proceedings of institution of civil engineers: construction materials",NA,0,NA,NA,"0.272","11",NA,NA,NA
"15153","canadian journal of dietetic practice and research",NA,0,NA,NA,"0.272","24","0.5","0.00045",NA
"15154","journal of tropical forest science",NA,0,NA,NA,"0.272","23","0.466","0.00064",NA
"15155","22nd international specialty conference on recent research and developments in coldformed steel design and construction",NA,0,NA,NA,"0.272","2",NA,NA,NA
"15156","history of religions",NA,0,NA,NA,"0.272","17",NA,NA,NA
"15157","foundations of science",NA,0,NA,NA,"0.272","18","0.727","0.00026",NA
"15158","2013 ieee transportation electrification conference and expo: components, systems, and power electronics  from technology to business and public policy, itec 2013",NA,0,NA,NA,"0.272","11",NA,NA,NA
"15159","home health care services quarterly",NA,0,NA,NA,"0.272","23",NA,NA,NA
"15160","occupational therapy international",NA,0,NA,NA,"0.272","30","0.78","0.00038",NA
"15161","combustion, explosion and shock waves",NA,0,NA,NA,"0.272","32",NA,NA,NA
"15162","numerical algebra, control and optimization",NA,0,NA,NA,"0.272","11",NA,NA,NA
"15163","polymers from renewable resources",NA,0,NA,NA,"0.272","4",NA,NA,NA
"15164","giornale di chirurgia",NA,0,NA,NA,"0.272","16",NA,NA,NA
"15165","helminthologia",NA,0,NA,NA,"0.272","23","0.472","0.00059",NA
"15166","international journal of lexicography",NA,0,NA,NA,"0.272","20","1.107","0.00039",NA
"15167","proceedings  2013 ieee 7th international symposium on serviceoriented system engineering, sose 2013",NA,0,NA,NA,"0.272","11",NA,NA,NA
"15168","european geriatric medicine",NA,0,NA,NA,"0.272","16","1.336","0.00122",NA
"15169","annals of the academy of medicine, singapore",NA,0,NA,NA,"0.272","50",NA,NA,NA
"15170","pnrpu mechanics bulletin",NA,0,NA,NA,"0.272","5",NA,NA,NA
"15171","strategy and leadership",NA,0,NA,NA,"0.272","23",NA,NA,NA
"15172","scottish geographical journal",NA,0,NA,NA,"0.272","20","0.75","0.00021",NA
"15173","workplace health and safety",NA,0,NA,NA,"0.272","30","0.697","6e-04",NA
"15174","hikma",NA,0,NA,NA,"0.271","1",NA,NA,NA
"15175","mental health and prevention",NA,0,NA,NA,"0.271","4",NA,NA,NA
"15176","proceedings of the 2013 ieee international workshop on information forensics and security, wifs 2013",NA,0,NA,NA,"0.271","6",NA,NA,NA
"15177","kongzhi lilun yu yinyong/control theory and applications",NA,0,NA,NA,"0.271","26",NA,NA,NA
"15178","international journal of law, crime and justice",NA,0,NA,NA,"0.271","21",NA,NA,NA
"15179","proceedings  ieee international symposium on defect and fault tolerance in vlsi systems",NA,0,NA,NA,"0.271","28",NA,NA,NA
"15180","mental health and substance use: dual diagnosis",NA,0,NA,NA,"0.271","10",NA,NA,NA
"15181","mljekarstvo",NA,0,NA,NA,"0.271","13","0.631","3e-04",NA
"15182","zeitschrift für arbeits und organisationspsychologie",NA,0,NA,NA,"0.271","13",NA,NA,NA
"15183","journal of plant pathology",NA,0,NA,NA,"0.271","36","1.267","0.00189",NA
"15184","2013 ieee/asme international conference on advanced intelligent mechatronics: mechatronics for human wellbeing, aim 2013",NA,0,NA,NA,"0.271","12",NA,NA,NA
"15185","nuclear technology and radiation protection",NA,0,NA,NA,"0.271","12","0.62","0.00033",NA
"15186","food biotechnology",NA,0,NA,NA,"0.271","26","0.564","0.00025",NA
"15187","spixiana",NA,0,NA,NA,"0.271","10","0.784","0.00035",NA
"15188","international journal of chemtech research",NA,0,NA,NA,"0.271","29",NA,NA,NA
"15189","international journal of distributed sensor networks",NA,0,NA,NA,"0.271","26","1.239","0.00791",NA
"15190","research in language",NA,0,NA,NA,"0.271","4",NA,NA,NA
"15191","fat studies",NA,0,NA,NA,"0.271","5",NA,NA,NA
"15192","drewno",NA,0,NA,NA,"0.271","6","0.642","0.00017",NA
"15193","journal of punjab academy of forensic medicine and toxicology",NA,0,NA,NA,"0.271","4",NA,NA,NA
"15194","south african review of sociology",NA,0,NA,NA,"0.271","7",NA,NA,NA
"15195","hippokratia",NA,0,NA,NA,"0.271","18","0.467","0.00105",NA
"15196","jamba: journal of disaster risk studies",NA,0,NA,NA,"0.271","4",NA,NA,NA
"15197","indian journal of nephrology",NA,0,NA,NA,"0.271","14",NA,NA,NA
"15198","sichuan daxue xuebao (gongcheng kexue ban)/journal of sichuan university (engineering science edition)",NA,0,NA,NA,"0.271","17",NA,NA,NA
"15199","debs 2013  proceedings of the 7th acm international conference on distributed eventbased systems",NA,0,NA,NA,"0.271","10",NA,NA,NA
"15200","advances in acoustics and vibration",NA,0,NA,NA,"0.271","8",NA,NA,NA
"15201","hsian chiao tung ta hsueh/journal of xi'an jiaotong university",NA,0,NA,NA,"0.271","21",NA,NA,NA
